order_date,order_year,order_month,order_hour,time_of_day,date_id
2019-12-30,2019,12,0,Night,1
2019-12-29,2019,12,7,Morning,2
2019-12-12,2019,12,18,Evening,3
2019-12-22,2019,12,15,Afternoon,4
2019-12-18,2019,12,12,Afternoon,5
2019-12-31,2019,12,22,Evening,6
2019-12-16,2019,12,15,Afternoon,7
2019-12-13,2019,12,9,Morning,8
2019-12-15,2019,12,23,Evening,9
2019-12-28,2019,12,11,Morning,10
2019-12-13,2019,12,13,Afternoon,11
2019-12-28,2019,12,17,Afternoon,12
2019-12-20,2019,12,19,Evening,13
2019-12-06,2019,12,9,Morning,14
2019-12-25,2019,12,9,Morning,15
2019-12-01,2019,12,14,Afternoon,16
2019-12-25,2019,12,12,Afternoon,17
2019-12-23,2019,12,19,Evening,18
2019-12-23,2019,12,22,Evening,19
2019-12-04,2019,12,12,Afternoon,20
2019-12-11,2019,12,22,Evening,21
2019-12-17,2019,12,16,Afternoon,22
2019-12-10,2019,12,0,Night,23
2019-12-08,2019,12,11,Morning,24
2019-12-24,2019,12,11,Morning,25
2019-12-04,2019,12,0,Night,26
2019-12-22,2019,12,18,Evening,27
2019-12-14,2019,12,1,Night,28
2019-12-16,2019,12,16,Afternoon,29
2019-12-26,2019,12,18,Evening,30
2019-12-14,2019,12,6,Morning,31
2019-12-23,2019,12,13,Afternoon,32
2019-12-15,2019,12,7,Morning,33
2019-12-13,2019,12,14,Afternoon,34
2019-12-17,2019,12,18,Evening,35
2019-12-25,2019,12,19,Evening,36
2019-12-28,2019,12,15,Afternoon,37
2019-12-21,2019,12,18,Evening,38
2019-12-17,2019,12,12,Afternoon,39
2019-12-12,2019,12,0,Night,40
2019-12-25,2019,12,10,Morning,41
2019-12-12,2019,12,20,Evening,42
2019-12-07,2019,12,11,Morning,43
2019-12-25,2019,12,16,Afternoon,44
2019-12-26,2019,12,19,Evening,45
2019-12-04,2019,12,13,Afternoon,46
2019-12-10,2019,12,20,Evening,47
2019-12-24,2019,12,7,Morning,48
2019-12-31,2019,12,7,Morning,49
2019-12-03,2019,12,23,Evening,50
2019-12-27,2019,12,17,Afternoon,51
2019-12-24,2019,12,18,Evening,52
2019-12-17,2019,12,22,Evening,53
2019-12-08,2019,12,18,Evening,54
2019-12-08,2019,12,23,Evening,55
2019-12-07,2019,12,13,Afternoon,56
2019-12-03,2019,12,14,Afternoon,57
2019-12-05,2019,12,15,Afternoon,58
2019-12-25,2019,12,14,Afternoon,59
2019-12-14,2019,12,14,Afternoon,60
2019-12-21,2019,12,19,Evening,61
2019-12-28,2019,12,21,Evening,62
2019-12-14,2019,12,20,Evening,63
2019-12-16,2019,12,11,Morning,64
2019-12-29,2019,12,18,Evening,65
2019-12-20,2019,12,11,Morning,66
2019-12-27,2019,12,14,Afternoon,67
2019-12-19,2019,12,8,Morning,68
2019-12-20,2019,12,18,Evening,69
2019-12-14,2019,12,21,Evening,70
2019-12-01,2019,12,20,Evening,71
2019-12-02,2019,12,21,Evening,72
2019-12-09,2019,12,23,Evening,73
2019-12-03,2019,12,11,Morning,74
2019-12-19,2019,12,3,Night,75
2019-12-24,2019,12,10,Morning,76
